item_id,src,hypo_A,hypo_B,label
item_0036,"An editorial in the church-owned Deseret Morning News in Salt Lake City earlier this year acknowledged that ""the state's history, a conservative belief in free choice, and an unwillingness to stir up a hornet's nest in the national media have likely all contributed to the kid-glove approach lawmakers and law-enforcement officers have taken when dealing with polygamous communities.""",今年早些时候，盐湖城教会旗下的《德撒律晨报》在一篇社论中承认：“该州的历史、保守派对自由选择的信念，以及不愿在全国媒体上捅马蜂窝，可能都促使立法者和执法人员在处理一夫多妻制群体时采取了谨慎温和的做法。”,今年早些时候，盐湖城教会所有的《德瑟雷特晨报》发表社论承认，“该州的历史、对自由选择的保守信念，以及不愿在全国媒体中捅马蜂窝，可能共同导致了立法者和执法人员在对待一夫多妻制社区时所采取的温和态度。”,
item_0037,"She gestured and laughed, but her husband was eager to break in, holding up his hands over the plate balanced on his knees.",她一边比画一边笑着，但她丈夫急着插话，把双手举在搁在膝盖上的盘子上方。,她边比划边笑，而她丈夫急着插话，双手悬空护着平放在膝盖上的盘子。,
item_0038,Read some of the following links and draw your own conclusions.,阅读以下一些链接，并自行得出结论。,阅读以下链接，并得出你自己的结论。,
item_0039,Auster looked the check over carefully and nodded.,奥斯特仔细看了看那张支票，然后点了点头。,奥斯特仔细端详了那张支票，点了点头。,
item_0040,Once we get the word from Lavo we'll let you know.,一旦收到拉沃的消息，我们就会通知你。,一收到 Lavo 的消息，我们就会通知你。,
item_0041,"Then, Ron, you come bounding downstairs going, Mum, look who turned up in the night! and she'll be all pleased to see Harry and no one need ever know we flew the car.",然后，罗恩，你一蹦一跳地跑下楼去，嚷着：“妈妈，瞧瞧谁昨晚来啦！”这样她一见到哈利就会高兴坏了，谁也不会知道我们是开着飞车来的。,然后，罗恩，你就蹦蹦跳跳地跑下楼，说：“妈妈，看谁大半夜来了！”她见到哈利肯定高兴得不得了，也就永远不会有人知道我们是开着车飞来的。,
item_0042,I'm sure this kind of thing goes on all the time.,我敢肯定这种事一直都在发生。,我相信这种事情肯定是屡见不鲜的。,
item_0043,"She gave a small, self-questioning shrug, admitting the glibness of another kind of daily talk in another time.",她微微耸了耸肩，带着几分自我怀疑，承认了昔日另一种日常闲谈的虚浮。,她略带自疑地轻轻耸了耸肩，承认那不过是另一个时代里另一种日常谈吐的轻巧圆滑。,
item_0044,It solaced him to know that he had an alternate plan if things went awry.,想到万一事情出了岔子他还有备用方案，他便感到宽慰。,得知万一事情有失，自己还有备用计划，这让他备感慰藉。,
item_0045,"Mr Weasley took Harry's glasses, gave them a tap of his wand and returned them, good as new.",韦斯莱先生拿过哈利的眼镜，用魔杖轻轻一敲，又还给了他，眼镜已完好如初。,韦斯莱先生拿过哈利的眼镜，用魔杖在上面轻轻一敲，便递还给他，眼镜已经完好如初。,
item_0046,i have a Mature male and female they are together a lot but never laid eggs as far as i know can anyone help me figure out how to make them mate,我有一对已性成熟的公母，它们经常待在一起，但据我所知从未产过卵，有人能帮我想想办法怎么让它们配对繁殖吗？,我有一只成年雄性和一只成年雌性，它们经常待在一起，但据我所知从未产过卵。有人能帮我弄清楚怎样才能让它们交配吗？,
item_0047,"You want to take advantage of the new features not found in ANSI-89 SQL, such as:",如果您希望利用 ANSI-89 SQL 中所没有的新特性，例如：,你希望利用 ANSI-89 SQL 所不具备的新特性，例如：,
item_0048,your male is hurting her to put her in her place - biting her scruff is dominance and biting the belly is a move cats use when hunting - to pull the guts out of their prey.,你的公猫是在通过伤害她来教训她、确立地位——咬后颈是宣示支配地位，而咬肚子则是猫咪在狩猎时用来掏出猎物内脏的招数。,你的公猫是在伤害她，以此让她认清自己的地位——咬她的后颈是一种支配行为，而咬腹部则是猫在捕猎时用来掏出猎物内脏的动作。,
item_0049,The only difference we had was for package V02.,我们唯一的差异在于 V02 包。,我们唯一的不同之处在于V02方案。,
item_0050,http://i.imgur.com/S2MD2.jpg http://i.imgur.com/T2zff.jpg http://i.imgur.com/Xytex.jpg I took some photos of my model girlfriend with my Nikon D7000 (see links above).,http://i.imgur.com/S2MD2.jpg http://i.imgur.com/T2zff.jpg http://i.imgur.com/Xytex.jpg 我用我的尼康 D7000 给身为模特的女友拍了几张照片（见上方链接）。,http://i.imgur.com/S2MD2.jpg http://i.imgur.com/T2zff.jpg http://i.imgur.com/Xytex.jpg 我用我的尼康 D7000 给我的模特女友拍了几张照片（见上方链接）。,
item_0051,"The Herodian relics are all that relics should be columns distorted, well worked over by time, Absalom's tomb with its bulbous roof and odd funnel tapering out of it.",希律王时代的遗迹尽显古迹应有的模样：石柱扭曲变形，饱经岁月磨蚀；押沙龙墓顶浑圆鼓起，还突兀地伸出一个逐渐收尖的奇特漏斗。,希律时期的遗迹尽显遗迹该有的沧桑：圆柱倾斜扭曲，饱经岁月雕琢，押沙龙墓顶着圆鼓鼓的屋顶，上方还伸出一根奇特而渐细的漏斗状尖顶。,
item_0052,"if they bite, and one cries, you must separate them, and you must keep an eye on them.",如果它们互相撕咬且其中一只叫了起来，你必须把它们分开，并且一定要看好它们。,如果它们咬起来，其中一只叫疼了，你就必须把它们分开，并且时刻留意它们。,
item_0053,"Never mind, Mrs. Bray will join you later.",没关系，布雷夫人稍后会和您会合。,没关系，布雷夫人稍后会和你们会合。,
item_0054,I had been telling Shahar when we were walking in the Gai-Hinnom that I hadn't liked it when David Ben-Gurion on his visits to the United States would call upon American Jews to give up their illusions about goyish democracy and emigrate full speed to Israel.,我们走在欣嫩谷时，我曾对沙哈尔说，我一直很反感戴维·本-古里安在访问美国时，号召美国犹太人放弃对非犹太民主的幻想、火速移民以色列。,我们在欣嫩谷散步时，我一直在对沙哈尔说，我不喜欢大卫·本-古里安访美时总是呼吁美国犹太人放弃对外邦人民主的幻想，全速移民以色列。,
item_0055,"There was a vast amount of red – good to see at any time, because one knows that some real work is done in there, a deuce of a lot of blue, a little green, smears of orange, and, on the East Coast, a purple patch, to show where the jolly pioneers of progress drink the jolly lager-beer.",红色大片大片的——无论何时看见都叫人欣慰，因为谁都知道那里头确实有人在干实事；蓝色也多得惊人，绿色只有一点，橙色东一抹西一抹；而在东海岸，还有一块紫斑，标示着那些快活的进步先驱们喝着快活的拉格啤酒的地方。,地图上有着大片的红色——这在任何时候看着都让人赏心悦目，因为人们知道那儿在干着实实在在的工作；还有好大一片蓝色，少许绿色，几抹橙色，以及东海岸上的一块紫色斑块，昭示着那些快活的进步先驱们正在何处畅饮着快活的拉格啤酒。,
item_0056,"If there are 40 salespeople, after the filter is applied, you will see data for 10 people.",如果共有 40 名销售人员，应用筛选器后，您将看到其中 10 人的数据。,如果有 40 名销售人员，应用筛选条件后，您将看到其中 10 人的数据。,
item_0057,"Thank you very much, Commissioner.",非常感谢您，专员。,非常感谢您，专员。,
item_0058,Why not look it up!,何不查一下呢！,何不查一下呢！,
item_0059,The points system acts as a guide to sort out the best candidates.,积分制可作为甄选最佳候选人的参考标准。,积分制起到了导向作用，旨在筛选出最优秀的候选人。,
item_0060,"Based on how CRRA reacts, I would make an ultimate determination if the agreement needs to be attached to the LOI.",视 CRRA 的回应而定，我会最终决定是否需要将该协议作为意向书的附件。,根据CRRA的反应，我将最终决定是否需要将该协议作为意向书（LOI）的附件。,
item_0061,"In general, avoid doing the following to prevent problems caused by mixing queries created under different ANSI SQL query modes:",一般而言，为防止混用在不同 ANSI SQL 查询模式下创建的查询所引发的问题，应避免执行以下操作：,一般情况下，应避免进行以下操作，以防止因混用在不同 ANSI SQL 查询模式下创建的查询而引发问题：,
item_0062,"Failing in Syria, the Americans went to work in Egypt.",在叙利亚受挫后，美国人转而插手埃及事务。,在叙利亚失利后，美国人转而在埃及展开行动。,
item_0063,"Neil Bayley was the one to find this out, because of some domestic mishap or misunderstanding that made his arrival at the visitors' stand very late.",尼尔·贝利是发现这一情况的人，因为家里出了点岔子或闹了点误会，害得他很晚才赶到客队看台。,尼尔·贝利之所以发现这一点，是因为家里出了点小状况或误会，导致他很晚才赶到访客看台。,
item_0064,"Vivien Bayley, queenly at twenty-six, with her beautiful, well-mannered, disciplined face, came to hover beside Bray between responsible permutations about the room to make sure that this young girl was not being bothered too much by the attentions of someone older and rather drunk, or that young man was not being overlooked by the girls who ought to be taking notice of him.",二十六岁的薇薇安·贝利仪态高贵如女王，她那张美丽、得体而内敛的面庞在布雷身旁驻足片刻，随后又尽责地在席间穿梭，以确保没有年轻姑娘因某位年长且醉醺醺的男士的纠缠而局促不安，也没有哪个年轻小伙被本该关注他的姑娘们冷落在一旁。,薇薇安·贝利年方二十六便已雍容如后，生着一张美丽、得体而自持的脸；她在屋里尽责地穿梭周旋、调度往来之余，便会来到布雷身旁稍作停留，好确认这个年轻姑娘没有因某个年长且颇有醉意的人的殷勤而不胜其扰，也确认那个年轻男子没有被那些本该留意他的姑娘们冷落。,
item_0065,"She then blows herself up, killing 20 people, including many children, with heads and arms rolling around in the restaurant.",随后她引爆了身上的炸弹，夺走了包括许多儿童在内的20条生命，餐馆内顿时断肢残头四处滚落。,随后，她引爆身上的炸弹，造成20人死亡，其中包括许多儿童，餐厅里到处是滚落的头颅和断肢。,
item_0066,"But Sharon's iron fist is simply not working as a means of establishing general peace, and the Bush administration will have to finally apply effective pressure on Sharon to stop his outrages in and colonization of the West Bank and Gaza.",然而，沙龙的铁腕政策根本无法实现全面和平，布什政府最终必须向沙龙施加有效压力，迫使其停止在约旦河西岸和加沙地带的暴行及殖民活动。,但沙龙的铁腕政策显然无助于实现全面和平，布什政府终究必须对沙龙施加切实有效的压力，迫使他停止在约旦河西岸和加沙的暴行及殖民扩张。,
item_0067,The fiscal advantages for clean vehicles could then be introduced some two years before the new standards take effect.,这样，清洁车辆的财政优惠措施便可在新标准生效前大约两年出台。,届时，针对清洁车辆的税收优惠政策可在新标准生效前大约两年出台。,
item_0068,"The American firm of Booz, Allen &amp; Hamilton lent one of its specialists, Miles Copeland by name, to the State Department, where he was in 1955 a member of a group called the Middle East Policy Planning Committee, the main purpose of which was, in his own words, ""to work out ways of taking advantage of the friendship which was developing between ourselves and Nasser.""",美国博思艾伦咨询公司将其一位名叫迈尔斯·科普兰的专家借调给美国国务院。1955年，科普兰成为该部“中东政策规划委员会”的成员；用他自己的话来说，该委员会的主要目的就是“想方设法利用我们与纳赛尔之间正在发展的友谊”。,美国博思艾伦·汉密尔顿公司将其一名专家迈尔斯·科普兰借调至国务院；1955年，他在国务院担任一个名为“中东政策规划委员会”的小组成员，该小组的主要目的，用他自己的话说，是“研究如何利用我们与纳赛尔之间正在发展的友谊”。,
item_0069,"The ReportML language is made up of a set of tags that describe a form, report or data access page's properties, events, and attributes.",ReportML 语言由一组描述窗体、报表或数据访问页的属性、事件和特征的标记组成。,ReportML 语言由一组标记构成，用于描述窗体、报表或数据访问页的属性、事件和特性。,
item_0070,They set off together down the street.,他们一起沿着街道走去。,他们一同沿着街道走去。,
item_0071,"""I'm pretty suspicious of making broad generalizations,"" however, he cautioned.",不过，他提醒说：“我对一概而论相当警惕。”,“不过，”他告诫道，“我对笼统的概括持相当怀疑的态度。”,
item_0072,"In 1947 Copeland had been sent to Damascus (""by whom is not stated,"" Kedourie says) ""to make unofficial contact"" with Syrian leaders and ""to probe for means of persuading them, on their own, to liberalize their political system.""",1947年，科普兰被派往大马士革（凯杜里说，“由谁派遣并未说明”），以便与叙利亚领导人“进行非正式接触”，并“探寻劝说他们自行推动政治体制自由化的途径”。,1947年，科普兰被派往大马士革（凯杜里说“未说明是由谁派遣”），以“与叙利亚领导人建立非官方联系”，并“探寻说服他们主动使本国政治体制走向自由化的途径”。,
item_0073,"Also, some serious targets must now finally be set for the car industry.",此外，现在终于必须针对汽车行业制定一些严肃的目标了。,此外，现在终于必须为汽车行业制定一些切实有力的目标了。,
item_0074,"Please, let me know.",请告诉我。,请告诉我。,
item_0075,When are we going to get NetMeeting going ?,我们什么时候才能把 NetMeeting 用起来？,我们什么时候开始用 NetMeeting？,
item_0076,"Roly Dando had promised to drop by, and of course Bray was with him.",罗利·丹多曾答应过会顺路拜访，果不其然，布雷也与他同行。,罗利·丹多先前答应要顺道过来，布雷当然也跟他一起来了。,
item_0077,He had emerged into a dingy alleyway that seemed to be made up entirely of shops devoted to the Dark Arts.,他来到一条昏暗肮脏的小巷，巷子里似乎清一色都是经营黑魔法物品的店铺。,他走入了一条阴暗肮脏的小巷，两旁似乎全都是专门经营黑魔法的店铺。,
item_0078,He let go of the gnome's ankles: it flew twenty feet into the air and landed with a thud in the field over the hedge.,他松开了地精的脚踝：它飞起二十英尺高，越过树篱，砰的一声落在那边的田地里。,他松开那只地精的脚踝：地精嗖地飞上了二十英尺的高空，接着砰的一声，落在了树篱那头的田野里。,
item_0079,"If you carry out the Save As command after making changes to the object's formatting, but before saving your changes, the current formatting – not the saved formatting – will be used to create the page.",如果在更改对象格式后、保存更改之前执行“另存为”命令，则将使用当前格式（而非已保存的格式）来创建页面。,如果您在对对象的格式进行更改之后、但在保存更改之前执行“另存为”命令，则将使用当前的格式（而非已保存的格式）来创建该页面。,
item_0080,"At that moment, there was a diversion in the form of a small, red-headed figure in a long nightdress, who appeared in the kitchen, gave a small squeal, and ran out again.",就在那时，一个穿着长睡衣、红头发的小小身影出现在厨房里，轻轻尖叫了一声，又跑了出去，转移了大家的注意力。,就在那时，出现了一个令人分心的插曲：一个身穿长睡衣、留着红发的小小身影在厨房闪现，发出一声短促的尖叫，随即又跑了出去。,
item_0081,"Warning that the NHS was now under ""enormous pressure,"" he urged the public to take more responsibility for their own health.",他警告称，英国国家医疗服务体系（NHS）如今承受着“巨大压力”，并敦促公众为自身健康承担更多责任。,他警告称英国国家医疗服务体系（NHS）目前正承受着“巨大压力”，并敦促公众对自己的健康承担起更多责任。,
item_0082,Of course law enforcement has dragged it's feet when members are taking part in the activity themselves.,当然，当执法人员自身也参与到这些活动中时，执法部门自然会拖延推诿。,当然，既然执法部门内部人员自己也参与其中，执法部门自然一直拖拖拉拉。,
item_0083,"When you create a Microsoft Access database, you need to decide which query mode you are going to use, because mixing queries created in both query modes could produce runtime errors or unexpected results.",当您创建 Microsoft Access 数据库时，需要决定要使用哪种查询模式，因为混合使用在两种查询模式下创建的查询可能会导致运行时错误或意外结果。,创建 Microsoft Access 数据库时，您需要确定要使用哪种查询模式，因为混用在两种查询模式下创建的查询可能会导致运行时错误或意外结果。,
item_0084,The European Commission maintains that everything depends on supply.,欧盟委员会坚称，一切都取决于供应情况。,欧盟委员会坚持认为，一切都取决于供应。,
item_0085,"It was ok, nice management, they let us check in early, but the place was old.",还算可以，管理服务挺贴心的，还让我们提前办了入住，不过设施确实有些陈旧。,还算可以，管理人员很友善，让我们提前办理了入住，不过房子有些老旧。,
item_0086,I have a concern that the Enron optionality bug could bite us on the backside with that one.,我担心安然的期权性漏洞会在这件事上反噬我们。,我担心安然期权漏洞那个问题可能会让我们在那个项目上搬起石头砸自己的脚。,
item_0087,"The Spanish story will surely end up being extremely costly to other European countries, including France, who is now expelling inciting preachers and forbidding veils and including others who sent troops to Iraq.",西班牙的教训终将让其他欧洲国家付出极其高昂的代价，其中包括正在驱逐煽动性传教士并禁止戴面纱的法国，以及其他曾向伊拉克派遣军队的国家。,西班牙的这场风波最终必将让其他欧洲国家付出极其沉重的代价，其中包括如今正在驱逐煽动性传教士、禁止佩戴面纱的法国，也包括其他曾向伊拉克派兵的国家。,
item_0088,He and his wife took over the Silver Rhino last year.,他和妻子去年接管了“银犀牛”。,他和妻子去年接手了“银犀牛”。,
item_0089,"At last, Auster gave a little shrug, which seemed to acknowledge that they had come to an impasse.",最后，奥斯特轻轻耸了耸肩，仿佛在承认他们已陷入僵局。,最后，奥斯特微微耸了耸肩，似乎承认他们已经陷入了僵局。,
item_0090,"Neil has a meeting in San Antonio (usually it is in Miami, San Francisco, Phoenix - not so great this year).",尼尔要在圣安东尼奥开个会（往年一般是在迈阿密、旧金山或者凤凰城——今年这地方可真不怎么样）。,尼尔要去圣安东尼奥参加一个会议（通常都在迈阿密、旧金山或凤凰城举行——今年的地点不太理想）。,
item_0091,"Do we expect to have ONE EPC contract, or several?",我们预计会签订一份EPC合同，还是多份？,我们预计是采用单一的EPC合同，还是拆分为多个合同？,
item_0092,You should double check with the necessary embassy before you leave though.,不过，出发前您最好还是向相关使领馆再次核实一下。,不过，出发前你还是应该向相关使馆再核实一下。,
item_0093,Fast forward to 2016 and this is increasingly worthy of attention.,时间快进到2016年，这一点愈发值得关注。,时至2016年，这一现象已愈发值得关注。,
item_0094,"We don't have to argue; we can take it that colonialism is indefensible, for us, no?",我们不必争论；我们可以认定，在我们看来，殖民主义是不可辩护的，对吧？,我们无需争论；我们完全可以认为，对我们而言，殖民主义是站不住脚的，难道不是吗？,
item_0095,Otherwise we will find ourselves forced to take more serious decisions as regards our trading relations with Israel.,否则，我们将不得不就与以色列的贸易关系作出更为严肃的决定。,否则，我们将发现自己不得不就与以色列的贸易关系做出更严厉的决定。,
