item_id,src,hypo_A,hypo_B,label,
item_0014,"When items in a field are hidden by conditional filtering, a funnel appears to the left of the drop-down arrow Field arrow.",عند إخفاء عناصر في حقل باستخدام التصفية الشرطية، تظهر أيقونة قمع إلى يسار سهم القائمة المنسدلة للحقل.,عندما تُخفى العناصر في حقل ما بواسطة التصفية الشرطية، يظهر رمز قمع إلى يسار سهم القائمة المنسدلة (سهم الحقل).,B,
item_0015,"Frustrated, the Americans decided for the best of reasons, as always, to make a heavier move:",وقد استبدّ بهم الإحباط، فقرر الأمريكيون، ولأسمى الأسباب كما هي عادتهم، أن يُقدموا على خطوة أكثر وطأة:,وبدافع من الإحباط، قرر الأمريكيون -لأبلج الأسباب كعادتهم دائماً- اتخاذ خطوة أكثر حزماً:,A,
item_0016,"In that case, the matter turns out to be a national problem after all.",في تلك الحالة، يتضح أن المسألة مشكلة وطنية في نهاية المطاف.,في هذه الحالة، يتبين أن الأمر يمثل مشكلة وطنية في نهاية المطاف.,A,
item_0017,A query that uses wildcard characters in a criteria expression can produce different results under each query mode.,قد يؤدي الاستعلام الذي يستخدم أحرف البدل في تعبير المعايير إلى نتائج مختلفة في كل وضع من أوضاع الاستعلام.,قد ينتج عن الاستعلام الذي يستخدم أحرف البدل في تعبير المعيار نتائج مختلفة في كل وضع من أوضاع الاستعلام.,B,
item_0018,"When items in a field are hidden by autofiltering or filter by selection, the drop-down arrow Field arrow in the field label is blue.",عندما تُخفى العناصر في حقل ما بواسطة التصفية التلقائية أو التصفية حسب التحديد، يتحول لون سهم القائمة المنسدلة (سهم الحقل) في تسمية الحقل إلى الأزرق.,عند إخفاء عناصر في حقل باستخدام التصفية التلقائية أو التصفية حسب التحديد، يتحول سهم القائمة المنسدلة في تسمية الحقل إلى اللون الأزرق.,A,
item_0019,"As you know, underage wizards are not permitted to perform spells outside school, and further spellwork on your part may lead to expulsion from said school (Decree for the Reasonable Restriction of Underage Sorcery, 1875, Paragraph C).",كما تعلم، يُحظر على السحرة القُصَّر إلقاء التعاويذ خارج المدرسة، وأي ممارسة سحرية أخرى من جانبك قد تؤدي إلى فصلك من المدرسة المذكورة (مرسوم التقييد المعقول لسحر القُصَّر، 1875، الفقرة ج).,كما تعلم، لا يُسمح للسحرة القاصرين بإلقاء التعاويذ خارج المدرسة، وأي ممارسة أخرى للسحر من جانبك قد تؤدي إلى فصلك من المدرسة المذكورة (مرسوم الحد المعقول من سحر القاصرين، ١٨٧٥، الفقرة ج).,B,
item_0020,"Quinn had his doubts, but this was all he had to go on, his only bridge to the present.",ساورت كوين الشكوك، لكن لم يكن لديه ما يستند إليه سوى هذا، جسره الوحيد إلى الحاضر.,ساورت كوين الشكوك، لكن هذا كان كل ما لديه ليستند إليه، وجسره الوحيد إلى الحاضر.,tie,
item_0021,Just so you could carry on tinkering with all that Muggle rubbish in your shed!,فقط لكي تستمر في العبث بكل خردة العامّة تلك في كوخك!,فقط لكي تتمكن من مواصلة العبث بكل تلك الخردة الماغلية في سقيفتك!,A,
item_0022,The fiscal advantages for clean vehicles could then be introduced some two years before the new standards take effect.,ويمكن عندئذٍ تقديم المزايا الضريبية للمركبات النظيفة قبل نحو عامين من بدء تطبيق المعايير الجديدة.,وعندئذٍ يمكن استحداث المزايا الضريبية للمركبات النظيفة قبل نحو عامين من دخول المعايير الجديدة حيز التنفيذ.,A,
item_0023,"After you move fields to the drop areas so that the drop area captions are covered up, you can still drag additional fields to the areas.",بعد نقل الحقول إلى مناطق الإفلات بحيث تغطي تسميات هذه المناطق، لا يزال بإمكانك سحب حقول إضافية إليها.,بعد نقل الحقول إلى مناطق الإفلات بحيث تُغطّى عناوين هذه المناطق، يظل بإمكانك سحب حقول إضافية إليها.,A,
item_0024,"She was, however, reading a book, a paperback with a lurid cover, and Quinn leaned over ever so slightly to his right to catch a glimpse of the title.",على أنَّها كانت تقرأ كتاباً، طبعةً ورقية ذات غلافٍ فاقع الألوان، فمال كوين قليلاً جداً إلى جهة اليمين ليلقي نظرةً خاطفة على العنوان.,غير أنها كانت تقرأ كتابًا، طبعةً ورقيةً بغلاف صارخ، فمال كوين إلى يمينه ميلًا طفيفًا لا يكاد يُلحظ ليختلس نظرةً إلى العنوان.,B,
item_0025,"We step into the street and my friend David Shahar, whose chest is large, takes a deep breath and advises me to do the same.",نخطو إلى الشارع، فيأخذ صديقي ديفيد شاهار، عريض الصدر، نفساً عميقاً وينصحني بفعل الشيء نفسه.,نخطو إلى الشارع، فيأخذ صديقي دافيد شاحر، عريضُ الصدر، نَفَسًا عميقًا وينصحني بأن أفعل مثله.,A,
item_0026,"Addressing the OAS, Amin had provoked laughter and applause among the delegates by saying that the hostages were as comfortable as they could be in the circumstances surrounded by explosives.",وفي خطابه أمام منظمة الدول الأمريكية، أثار أمين ضحك وتصفيق المندوبين بقوله إن الرهائن كانوا ينعمون بأكبر قدر ممكن من الراحة في ظل ظروف محاصرتهم بالمتفجرات.,وفي كلمة ألقاها أمام منظمة الدول الأمريكية، أثار أمين ضحك المندوبين وتصفيقهم حين قال إن الرهائن كانوا في أقصى درجات الراحة الممكنة في ظل تلك الظروف، وهم محاطون بالمتفجرات.,B,
item_0027,"He had read Quinn's old work, he had admired it, he had been looking forward to more.",لقد قرأ أعمال كوين القديمة، وأُعجب بها، وكان يتطلع إلى المزيد.,كان قد قرأ أعمال كوين السابقة، وأُعجب بها، وكان يتطلّع إلى المزيد.,tie,
item_0028,We soon get around to contemporary matters.,وسرعان ما نتطرق إلى القضايا المعاصرة.,سرعان ما نتطرق إلى الأمور المعاصرة.,B,
item_0029,"I was smoking my pipe quietly by my dismantled steamer, and saw them all cutting capers in the light, with their arms lifted high, when the stout man with mustaches came tearing down to the river, a tin pail in his hand, assured me that everybody was 'behaving splendidly, splendidly, dipped about a quart of water and tore back again.",كنت أدخّن غليوني بهدوء إلى جانب باخرتي المفككة، وأراهم جميعًا يثبون ويرقصون في الضوء وأذرعهم مرفوعة عاليًا، حين اندفع الرجل البدين ذو الشاربين هابطًا إلى النهر، وفي يده سطل من صفيح، مؤكّدًا لي أن الجميع «يتصرفون على نحو رائع، رائع»، ثم اغترف نحو لتر من الماء واندفع عائدًا.,"كنت أدخن غليوني بهدوء بجوار باخرتي المفككة، ورأيتهم جميعاً يتقافزون في الضوء بأذرعهم المرفوعة عالياً، عندما هرع الرجل البدين ذو الشاربين نحو النهر وبيده سطل من الصفيح، وأكد لي أن الجميع ""يتصرفون بشكل رائع، رائع""، ثم غرف حوالي لتر من الماء وهرع عائداً من حيث أتى.",B,
item_0030,"3 When you filter a field, the drop-down arrow Field arrow for the filtered field changes to blue instead of black, and the AutoFilter button on the toolbar is selected.","3 عند تصفية حقل، يتغير سهم القائمة المنسدلة الخاص بالحقل المصفى إلى اللون الأزرق بدلاً من الأسود، ويصبح زر ""التصفية التلقائية"" في شريط الأدوات مفعلاً.",٣ عند تصفية حقل، يتغير سهم القائمة المنسدلة للحقل الذي تمت تصفيته إلى اللون الأزرق بدلًا من الأسود، كما يتم تحديد زر التصفية التلقائية على شريط الأدوات.,B,
item_0031,I wish it was. But this has nothing to do with literature.,ليته كان كذلك. لكن هذا لا يمتّ إلى الأدب بصلة.,ليت الأمر كذلك، ولكن هذا لا علاقة له بالأدب.,tie,
item_0032,Uncle Vernon might still have been able to make his deal – if it hadn't been for the owl.,ربما ظل العم فيرنون قادراً على إتمام صفقته، لولا تلك البومة.,ربما كان العم فيرنون سيتمكّن مع ذلك من إتمام صفقته، لولا البومة.,B,
item_0033,"But quite abruptly, he had given up all that.",لكنّه، وعلى نحوٍ مفاجئ تمامًا، كان قد تخلى عن ذلك كله.,ولكنه، وبشكل مفاجئ تماماً، تخلى عن كل ذلك.,A,
item_0034,"When you create a link, Access will automatically set the ConnectionString property based on the contents of the connection file.",عند إنشاء ارتباط، سيقوم Access تلقائيًا بتعيين خاصية ConnectionString استنادًا إلى محتويات ملف الاتصال.,عند إنشاء ارتباط، سيقوم Access تلقائياً بتعيين الخاصية ConnectionString استناداً إلى محتويات ملف الاتصال.,tie,
item_0035,But it did not give me the time of day.,لكنّه لم يُلقِ لي بالًا.,لكنه لم يعرني أي اهتمام.,tie,
item_0036,"I hope she will take note of this, because it is an important point.",آمل أن تأخذ ذلك في الحسبان، لأنها نقطة مهمة.,آمل أن تأخذ هذا بعين الاعتبار، لأنها نقطة مهمة.,B,
item_0037,This gives the developer considerable control over the output of the XML data.,يتيح ذلك للمطور تحكماً كبيراً في مخرجات بيانات XML.,يمنح ذلك المطوّر تحكمًا كبيرًا في مخرجات بيانات XML.,tie,
item_0038,"For example, a series drop area is not displayed for a pie chart because pie charts consist of only one series.",على سبيل المثال، لا تُعرض منطقة إفلات السلسلة للمخطط الدائري لأن المخططات الدائرية تتكون من سلسلة واحدة فقط.,على سبيل المثال، لا يتم عرض منطقة إسقاط السلسلة للمخطط الدائري لأن المخططات الدائرية تتكون من سلسلة واحدة فقط.,B,
item_0039,I had been telling Shahar when we were walking in the Gai-Hinnom that I hadn't liked it when David Ben-Gurion on his visits to the United States would call upon American Jews to give up their illusions about goyish democracy and emigrate full speed to Israel.,كنت أقول لشاحار، ونحن نمشي في وادي هنّوم، إنني لم أكن أرتاح إلى أن يعمد ديفيد بن غوريون، في زياراته للولايات المتحدة، إلى دعوة اليهود الأميركيين إلى التخلي عن أوهامهم بشأن ديمقراطية الأغيار والهجرة بأقصى سرعة إلى إسرائيل.,لقد كنت أقول لشاحار، بينما كنا نسير في وادي هنوم، إن الأمر لم يكن يعجبني حين كان دافيد بن غوريون، خلال زياراته إلى الولايات المتحدة، يطالب اليهود الأمريكيين بالتخلي عن أوهامهم بشأن ديمقراطية الأغيار والهجرة بأقصى سرعة إلى إسرائيل.,B,
item_0040,You can apply a filter to a row or column field to show the top or bottom n items based on a total.,يمكنك تطبيق عامل تصفية على حقل صف أو عمود لعرض أعلى أو أدنى n عنصرًا استنادًا إلى الإجمالي.,يمكنك تطبيق عامل تصفية على حقل صف أو عمود لإظهار أعلى أو أدنى عدد (n) من العناصر استناداً إلى الإجمالي.,tie,
item_0041,"However, when you apply a filter by selection, the conditional filter already applied on the field is removed before the filter by selection is applied.",ومع ذلك، عند تطبيق عامل تصفية حسب التحديد، يُزال عامل التصفية الشرطي المطبَّق بالفعل على الحقل قبل تطبيق عامل التصفية حسب التحديد.,ومع ذلك، عند تطبيق تصفية حسب التحديد، تُزال التصفية الشرطية المطبقة بالفعل على الحقل قبل تطبيق التصفية حسب التحديد.,B,
item_0042,"I heard the name of Kurtz pronounced, then the words, 'take advantage of this unfortunate accident.'",سمعتُ اسمَ كورتز يُنطَق، ثم الكلمات: «استغلّوا هذا الحادث المؤسف».,"سمعتُ اسم ""كورتز"" يُنطَق، ثم تلتْه الكلمات: ""استغل هذا الحادث المؤسف"".",unclear,"the object of the verb ""take"" is unclear, is Kurtz f or m, or is it plural."
item_0043,"The American firm of Booz, Allen &amp; Hamilton lent one of its specialists, Miles Copeland by name, to the State Department, where he was in 1955 a member of a group called the Middle East Policy Planning Committee, the main purpose of which was, in his own words, ""to work out ways of taking advantage of the friendship which was developing between ourselves and Nasser.""","أعارت شركة ""بوز، ألن آند هاملتون"" الأمريكية أحد خبرائها، ويدعى مايلز كوبلاند، إلى وزارة الخارجية، حيث كان في عام 1955 عضواً في مجموعة تُسمى ""لجنة تخطيط السياسات في الشرق الأوسط""، وكان هدفها الرئيسي، على حد تعبيره، ""إيجاد سبل للاستفادة من الصداقة التي كانت تنمو بيننا وبين عبد الناصر"".",أعارت الشركة الأمريكية بوز، ألن وهاملتون أحدَ اختصاصييها، واسمه مايلز كوبلاند، إلى وزارة الخارجية، حيث كان في عام 1955 عضوًا في مجموعة تُدعى لجنة تخطيط سياسات الشرق الأوسط، وكان الغرض الرئيسي منها، على حدّ قوله، «استنباط سبل للإفادة من الصداقة التي كانت تنشأ بيننا وبين ناصر».,B,
item_0044,"The ReportML language is made up of a set of tags that describe a form, report or data access page's properties, events, and attributes.",تتألف لغة ReportML من مجموعة من الوسوم التي تصف خصائص وأحداث وسمات النموذج أو التقرير أو صفحة الوصول إلى البيانات.,تتكوّن لغة ReportML من مجموعة من الوسوم التي تصف خصائص وأحداث وسمات نموذج أو تقرير أو صفحة وصول إلى البيانات.,tie,
item_0045,paying special attention to the eyes.,مع إيلاء اهتمام خاص بالعينين.,مع إيلاء اهتمام خاص للعينين.,tie,
item_0046,"As he crossed the threshold and entered the apartment, he could feel himself going blank, as if his brain had suddenly shut off.",ما إن تخطى عتبة الباب ودخل الشقة، حتى شعر بعقله يفرغ تماماً من الأفكار، وكأن دماغه قد توقف عن العمل فجأة.,ما إن اجتاز العتبة ودخل الشقة حتى أحسّ بأن ذهنه يفرغ تمامًا، كما لو أن دماغه قد انطفأ فجأة.,B,
item_0047,in order to bring immediate results it will also be necessary to have constant monitoring of the implementation of the directive.,ومن أجل تحقيق نتائج فورية، سيكون من الضروري أيضاً إجراء مراقبة مستمرة لتنفيذ هذا التوجيه.,ومن أجل تحقيق نتائج فورية، سيكون من الضروري أيضًا إجراء رصد مستمر لتنفيذ التوجيه.,A,
item_0048,"At the corner of 72nd Street and Madison Avenue, he waved down a cab.",عند ناصية الشارع الثاني والسبعين وجادة ماديسون، أشار بيده لإيقاف سيارة أجرة.,عند تقاطع الشارع الثاني والسبعين وجادة ماديسون، استوقف سيارة أجرة.,A,
item_0049,I give the floor to Mrs Green.,أعطي الكلمة للسيدة غرين.,أمنح الكلمة للسيدة غرين.,tie,
item_0050,"The Herodian relics are all that relics should be columns distorted, well worked over by time, Absalom's tomb with its bulbous roof and odd funnel tapering out of it.",إن الآثار الهيرودية هي كل ما ينبغي أن تكون عليه الآثار: أعمدة مشوهة، تلاعب بها الزمن ملياً، وقبر أبشالوم بسقفه المنتفخ وقُمعِهِ الغريب المستدق منه.,الآثار الهيرودية هي كل ما ينبغي للآثار أن تكونه: أعمدة مُشوَّهة أعمل الزمن فيها فعله، وقبر أبشالوم بسقفه البصليّ وقمعه الغريب المستدقّ الناتئ منه.,B,
item_0051,We have done considerable research before coming to the conclusions before us tonight.,لقد أجرينا بحثًا مستفيضًا قبل التوصل إلى الاستنتاجات المطروحة أمامنا الليلة.,لقد أجرينا أبحاثاً مستفيضة قبل التوصل إلى الاستنتاجات المعروضة أمامنا الليلة.,tie,
item_0052,The European Commission maintains that everything depends on supply.,وتؤكد المفوضية الأوروبية أن كل شيء يعتمد على العرض.,تؤكد المفوضية الأوروبية أن كل شيء يتوقف على العرض.,tie,
item_0053,"If there are 40 salespeople, after the filter is applied, you will see data for 10 people.",إذا كان هناك 40 موظف مبيعات، فستظهر لك بيانات 10 أشخاص بعد تطبيق عامل التصفية.,إذا كان عدد مندوبي المبيعات 40، فبعد تطبيق عامل التصفية ستظهر لك بيانات 10 منهم.,A,
item_0054,"Many aspects of the transition have already been successfully debated and worked out, for example continuity in Kong's civil service.",لقد نوقشت بالفعل جوانب عديدة من المرحلة الانتقالية وتم التوصل إلى ترتيبات ناجحة بشأنها، مثل ضمان استمرارية الخدمة المدنية في هونغ كونغ.,لقد نوقشت بالفعل جوانب كثيرة من المرحلة الانتقالية وسُويت بنجاح، ومثال ذلك استمرارية الخدمة المدنية في هونغ كونغ.,tie,
item_0055,"An autofilter is always applied before a conditional filter, regardless of the order in which you applied them.",تُطبَّق التصفية التلقائية دائماً قبل التصفية الشرطية، بغض النظر عن ترتيب تطبيقهما.,تُطبَّق التصفية التلقائية دائمًا قبل التصفية الشرطية، بغضّ النظر عن ترتيب تطبيقهما.,tie,
item_0056,We look forward to what the Commission has to say but I would sound a note of warning.,نتطلع إلى ما ستقوله المفوضية، غير أنني أود أن أوجّه تحذيراً.,إننا نتطلع إلى ما ستقوله المفوضية، ولكنني أود أن أطلق صيحة تحذير.,A,
item_0057,"Once the Office Web Components are installed, users who have access to an Office 2002 license will be able to interact with and make changes to the components.",بمجرد تثبيت مكونات ويب Office، سيتمكن المستخدمون الذين لديهم ترخيص لبرنامج Office 2002 من التفاعل مع هذه المكونات وإجراء تغييرات عليها.,بعد تثبيت مكونات Office Web Components، سيتمكن المستخدمون الذين تتوفر لديهم رخصة Office 2002 من التفاعل مع هذه المكونات وإجراء تغييرات عليها.,A,
item_0058,"That is, a user with an appropriate license can make changes to data in a spreadsheet, change formatting, drag fields in a chart or PivotTable List, and so on, as long as you didn't protect these options at design time.",أي أنه يمكن للمستخدم الذي يملك الترخيص المناسب تعديل البيانات في جدول البيانات، وتغيير التنسيق، وسحب الحقول في مخطط أو قائمة جدول محوري، وغير ذلك، طالما أنك لم تقم بحماية هذه الخيارات أثناء مرحلة التصميم.,أي إن المستخدم الذي لديه ترخيص مناسب يمكنه تعديل البيانات في جدول بيانات، وتغيير التنسيق، وسحب الحقول في مخطط أو قائمة PivotTable، وما إلى ذلك، ما دمت لم تحمِ هذه الخيارات أثناء مرحلة التصميم.,A,
item_0059,"Well, let us say three months before we can make a start.",حسنًا، لنقل ثلاثة أشهر قبل أن نتمكن من البدء.,"""حسنًا، لنقل ثلاثة أشهر قبل أن نتمكن من البدء.""",A,
item_0060,"From this standpoint, the evaluation of the implementation of the budget may take on a dimension that overrides matters of detail.",ومن هذا المنطلق، قد يكتسب تقييم تنفيذ الميزانية بُعدًا يتجاوز المسائل التفصيلية.,من هذا المنطلق، قد يكتسب تقييم تنفيذ الميزانية بُعداً يتجاوز المسائل التفصيلية.,B,
item_0061,Otherwise we will find ourselves forced to take more serious decisions as regards our trading relations with Israel.,وإلا فسنجد أنفسنا مضطرين إلى اتخاذ قرارات أكثر جدية فيما يتعلق بعلاقاتنا التجارية مع إسرائيل.,وإلا سنجد أنفسنا مضطرين لاتخاذ قرارات أكثر جدية فيما يتعلق بعلاقاتنا التجارية مع إسرائيل.,A,
item_0062,You can apply a filter to a series or category field to show the top or bottom n items based on a total.,يمكنك تطبيق عامل تصفية على حقل سلسلة أو فئة لإظهار العناصر الـ n الأعلى أو الأدنى بناءً على الإجمالي.,يمكنك تطبيق عامل تصفية على حقل سلسلة أو فئة لعرض أعلى أو أدنى n عنصرًا استنادًا إلى الإجمالي.,B,
item_0063,"If a query uses an alias that is the same as a base column name and you create a calculated field using the ambiguous name, the query will produce different results under each query mode.",إذا استخدم الاستعلام اسماً مستعاراً مطابِقاً لاسم العمود الأساسي وأنشأتَ حقلاً محسوباً باستخدام هذا الاسم الغامض، فسينتج عن الاستعلام نتائج مختلفة في كل وضع من أوضاع الاستعلام.,إذا استخدم استعلامٌ اسمًا مستعارًا يطابق اسم عمودٍ أساسي، ثم أنشأتَ حقلًا محسوبًا باستخدام الاسم الملتبس، فسينتج الاستعلام نتائج مختلفة في كل وضع من أوضاع الاستعلام.,A,
item_0064,"If you don't want to retain your filter selections, make sure the AutoFilter button is not selected before you start selecting items to filter.",إذا كنت لا ترغب في الاحتفاظ باختيارات التصفية، فتأكد من أن زر «التصفية التلقائية» غير محدد قبل البدء في اختيار العناصر المراد تصفيتها.,"إذا كنت لا ترغب في الاحتفاظ بخيارات التصفية التي حددتها، فتأكد من إلغاء تفعيل زر ""التصفية التلقائية"" قبل البدء في اختيار العناصر المراد تصفيتها.",B,
item_0065,The moment they know the de-gnoming's going on they storm up to have a look.,ما إن يعلموا أن عملية طرد أقزام الحديقة جارية حتى يندفعوا إلى هناك لإلقاء نظرة.,في اللحظة التي يعلمون فيها ببدء عملية طرد الأقزام، يندفعون صعداً لإلقاء نظرة.,A,
item_0066,Subforms and subreports on a form or report are not converted when you carry out the Save As command.,"لا تُحوَّل النماذج الفرعية والتقارير الفرعية الموجودة ضمن نموذج أو تقرير عند تنفيذ الأمر ""حفظ باسم"".","لا يتم تحويل النماذج الفرعية والتقارير الفرعية الموجودة في نموذج أو تقرير عند تنفيذ الأمر ""حفظ باسم"".",B,
item_0067,"The next morning, Quinn woke up earlier than he had in several weeks.",في صباح اليوم التالي، استيقظ كوين في وقت أبكر مما اعتاد عليه منذ عدة أسابيع.,في صباح اليوم التالي، استيقظ كوين أبكر مما كان يستيقظ منذ عدة أسابيع.,A,
item_0068,"This was generally a grim place, filled with dust and people with nowhere to go, but now, with the rush hour at full force, it had been taken over by men and women with briefcases, books, and newspapers.",كان هذا المكان عادةً كئيبًا، يملؤه الغبار وأناس لا وجهة لهم، لكنه الآن، وقد بلغت ساعة الذروة أوجها، غصّ برجال ونساء يحملون حقائب عمل وكتبًا وصحفًا.,كان هذا المكان كئيباً في الغالب، يعمّه الغبار ويزدحم بأناس لا ملاذ لهم، لكنه الآن، ومع بلوغ ساعة الذروة أوجها، غصّ برجال ونساء يحملون حقائب عمل وكتباً وصحفاً.,B,
item_0069,"When you create a Microsoft Access database, you need to decide which query mode you are going to use, because mixing queries created in both query modes could produce runtime errors or unexpected results.",عند إنشاء قاعدة بيانات في Microsoft Access، عليك تحديد وضع الاستعلام الذي ستستخدمه، لأن خلط الاستعلامات المُنشأة في كلا وضعي الاستعلام قد يؤدي إلى أخطاء وقت التشغيل أو نتائج غير متوقعة.,عندما تنشئ قاعدة بيانات في Microsoft Access، يتعين عليك تحديد وضع الاستعلام الذي ستستخدمه، لأن خلط الاستعلامات التي تم إنشاؤها في كلا وضعي الاستعلام قد يؤدي إلى حدوث أخطاء في وقت التشغيل أو نتائج غير متوقعة.,tie,
item_0070,"He was about to tell her who he was, but then he realized that it made no difference.",كان على وشك أن يخبرها بمَن يكون، لكنّه أدرك حينها أن ذلك لن يغيّر شيئاً.,كان على وشك أن يخبرها بحقيقته، لكنه أدرك عندئذٍ أن ذلك لن يُحدث أي فرق.,A,
item_0071,"On July 4-5, again before the rescue, Le Monde had reported without comment wisecracks made by Amin in a speech at Port Louis.","وفي يومي 4 و5 يوليو، وقبل عملية الإنقاذ أيضاً، كانت صحيفة ""لوموند"" قد نقلت دون أي تعليق تعليقاتٍ ساخرةً أدلى بها أمين في خطابٍ ألقاه في بورت لويس.",في 4 و5 يوليو، وقبل عملية الإنقاذ أيضًا، نقلت صحيفة «لوموند» من دون تعليق تعليقاتٍ ساخرة أطلقها أمين في خطاب ألقاه في بورت لويس.,tie,
item_0072,The type of interval you can specify for a field depends on the data type of the field.,يعتمد نوع الفاصل الزمني الذي يمكنك تحديده لحقل ما على نوع بيانات الحقل.,يعتمد نوع الفاصل الزمني الذي يمكنك تحديده للحقل على نوع بيانات الحقل.,A,
